latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
52.3713513,4.9151382,4,0.91,0,0,-2,0,0,0,4,45,,14:46:38,375
,,3,0.915,0,0,-1,1,,,,,,,
,,3,0.919,0,0,0,2,,,,,,,
,,3,0.909,0,0,0,3,,,,,,,
,,3,0.901,0,0,0,4,,,,,,,
,,3,0.903,0,0,0,5,,,,,,,
,,3,0.902,0,0,0,6,,,,,,,
,,3,0.897,0,0,0,7,,,,,,,
,,3,0.896,0,0,0,8,,,,,,,
,,3,0.89,0,0,0,9,,,,,,,
,,3,0.893,0,0,0,10,,,,,,14:46:38,575
,,3,0.897,0,0,0,11,,,,,,,
,,3,0.898,0,0,0,12,,,,,,,
,,3,0.899,0,0,0,13,,,,,,,
,,3,0.899,0,0,0,14,,,,,,,
,,3,0.904,0,0,0,15,,,,,,,
,,3,0.905,0,0,0,16,,,,,,,
,,3,0.903,0,0,0,17,,,,,,,
,,3,0.903,0,0,0,18,,,,,,,
,,3,0.899,0,0,0,19,,,,,,,
52.3713512,4.915141,3,0.898,0,0,0,20,0,0,3,45,,14:46:38,730
,,3,0.903,0,0,0,21,,,,,,,
,,3,0.904,0,0,0,22,,,,,,,
,,3,0.908,0,0,0,23,,,,,,,
,,3,0.899,0,0,0,24,,,,,,,
,,3,0.897,0,0,0,25,,,,,,,
,,3,0.903,0,0,0,26,,,,,,,
,,3,0.898,0,0,0,27,,,,,,,
,,3,0.895,0,0,0,28,,,,,,,
,,3,0.895,0,0,0,29,,,,,,,
,,3,0.895,0,0,0,30,,,,,-71,14:46:38,946
,,3,0.897,0,0,0,31,,,,,,,
,,3,0.899,0,0,0,32,,,,,,,
,,3,0.904,0,0,0,33,,,,,,,
,,3,0.899,0,0,0,34,,,,,,,
,,3,0.898,0,0,0,35,,,,,,,
,,3,0.894,0,0,0,36,,,,,,,
,,3,0.893,0,0,0,37,,,,,,,
,,3,0.893,0,0,0,38,,,,,,,
,,3,0.894,0,0,0,39,,,,,,,
,,3,0.901,0,0,0,40,,,,,-71,14:46:39,145
,,3,0.901,0,0,0,41,,,,,,,
,,3,0.904,0,0,0,42,,,,,,,
,,3,0.907,0,0,0,43,,,,,,,
,,3,0.903,0,0,0,44,,,,,,,
,,3,0.895,0,0,0,45,,,,,,,
,,3,0.894,0,0,0,46,,,,,,,
,,3,0.898,0,0,0,47,,,,,,,
,,3,0.899,0,0,0,48,,,,,,,
,,3,0.909,0,0,0,49,,,,,,,
,,3,0.911,0,0,0,50,,,,,-71,14:46:39,337
,,3,0.911,0,0,0,51,,,,,,,
,,3,0.908,0,0,0,52,,,,,,,
,,3,0.917,0,0,0,53,,,,,,,
,,3,0.911,0,0,0,54,,,,,,,
,,3,0.896,0,0,0,55,,,,,,,
,,3,0.887,0,0,0,56,,,,,,,
,,3,0.88,0,0,0,57,,,,,,,
,,3,0.881,0,0,0,58,,,,,,,
,,3,0.876,0,0,0,59,,,,,,,
,,3,0.877,0,0,0,60,,,,,-71,14:46:39,542
,,3,0.878,0,0,0,61,,,,,,,
,,3,0.894,0,0,0,62,,,,,,,
,,3,0.894,0,0,0,63,,,,,,,
,,3,0.902,0,0,0,64,,,,,,,
,,3,0.907,0,0,0,65,,,,,,,
,,3,0.895,0,0,0,66,,,,,,,
,,3,0.899,0,0,0,67,,,,,,,
,,3,0.891,0,0,0,68,,,,,,,
