timestamp,latitude,longitude,heading,event_type,severity,outcome,peak_g,classification,recovery_time_s,avg_preimpact_decel_kmh_s,peak_preimpact_decel_kmh_s,surrounding_speed_kmh,speed_at_impact_kmh,speed_before_impact_kmh,suddenness_s,trip_id
2026-04-11 14:52:49+00:00,52.3554918,4.8755784,72.0,Crash / fall,Hard,Resolved,9.05,Unclassified,3.14,0.7666666666666666,1.4,2.5833333333333335,,2.4,0.04,602DE_Trip225
2026-04-11 14:55:18+00:00,52.3556029,4.8757018,199.0,Crash / fall,Minor,Resolved,-6.91,Unclassified,38.42,0.2,0.3,3.6142857142857143,,3.8,0.06,602DE_Trip225
2026-04-11 15:02:39+00:00,52.3620164,4.8763709,65.0,Crash / fall,Minor,Resolved,-6.64,High-Speed Fall,2.39,0.25,0.4,0.31666666666666665,25.4,0.6,0.2,602DE_Trip225
2026-04-13 13:17:16+00:00,52.3786877,4.9060026,212.0,Crash / fall,Minor,Resolved,6.94,Tip,,,,0.7428571428571429,,0.7,0.04,602DE_Trip228
2026-04-17 10:56:32+00:00,52.3918837780531,4.92855681130077,60.0,Crash / fall,Minor,Resolved,6.2,Unclassified,1.02,0.14,0.2,14.883333333333333,,15.2,0.78,602D6_Trip272
2026-04-20 17:32:21+00:00,52.3717221,4.8742741,0.0,Crash / fall,Minor,Resolved,-6.27,Tip,,1.7125,1.98,4.22,,1.9,0.06,602ED_Trip316
2026-04-21 14:58:17+00:00,52.3766982,4.9134928,0.0,Crash / fall,Severe,Resolved,12.84,Tip,,0.94,1.4,4.171428571428572,,2.5,0.06,602DE_Trip332
2026-04-21 15:50:28+00:00,52.3666691,4.8993995,80.0,Crash / fall,Minor,Resolved,-6.06,Unclassified,6.81,0.74,0.8,19.53333333333333,,18.3,0.02,602DE_Trip334
2026-04-22 08:00:28+00:00,52.3700287,4.9084135,0.0,Crash / fall,Minor,Resolved,-6.76,Unclassified,15.96,2.1275,2.41,8.22,,5.9,0.02,604F9_Trip352
2026-04-22 09:40:39+00:00,52.3854993,4.9130819,0.0,Crash / fall,Hard,Resolved,-8.3,Tip,,,,0.0,,0.0,0.02,602DE_Trip354
2026-05-07 20:35:44+00:00,52.3560382,4.9048814,244.0,Crash / fall,Minor,Resolved,6.59,Tip,,0.3,0.5,0.4,,0.6,0.04,602CA_Trip538
2026-05-08 08:03:21+00:00,52.3075489,4.8793909,83.0,Crash / fall,Minor,Resolved,6.53,Tip,,,,7.0,,,0.1,602CA_Trip540
2026-05-08 08:32:31+00:00,52.3643304,4.906473,337.0,Crash / fall,Hard,Resolved,8.22,Tip,,,,1.7,,,0.04,602CA_Trip540
2026-05-08 08:39:17+00:00,52.3742423,4.9154711,345.0,Crash / fall,Hard,Resolved,8.64,Tip,,1.732,2.1,7.966666666666667,,5.0,0.02,602CA_Trip540
2026-05-08 20:20:59+00:00,52.3509768,4.9351113,247.0,Crash / fall,Severe,Resolved,11.56,Tip,,2.243333333333333,2.81,4.9,,4.3,0.02,602CA_Trip546
2026-08-24 07:42:05+00:00,52.3548652,4.8055482,26.0,Crash / fall,Severe,Resolved,13.38,Unclassified,6.41,,,5.45,,,0.08,604F0_Trip1511
2026-08-24 07:42:05+00:00,52.3549293,4.8056273,96.0,Crash / fall,Minor,Resolved,-7.18,High-Speed Fall,2.78,,,5.45,38.1,38.1,0.2,604F0_Trip1511
2026-08-24 07:42:05+00:00,52.3550269,4.8059454,76.0,Crash / fall,Hard,Resolved,-8.13,Unclassified,9.01,,,5.45,,,0.2,604F0_Trip1511
2026-08-24 07:42:59+00:00,52.3550483,4.8061449,236.0,Crash / fall,Hard,Resolved,-9.68,Unclassified,2.2,0.65,0.82,2.7199999999999998,,2.0,0.18,604F0_Trip1511
